algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Cocktail Sort,sorted_asc_1000.txt,1000,4.124641418457031e-05,4.553794860839844e-05,1.2224620574278135e-06,0.00390625,4.1985511779785155e-05
Cocktail Sort,sorted_desc_1000.txt,1000,0.05221104621887207,0.1029198169708252,0.01635558282543191,0.00390625,0.07434372901916504
Cocktail Sort,random_1000.txt,1000,0.037709951400756836,0.04951667785644531,0.003128436846987414,0.00390625,0.0457338809967041
Cocktail Sort,partial_30_1000.txt,1000,0.027375459671020508,0.04170846939086914,0.005239623374715426,0.0,0.03394343852996826
Cocktail Sort,partial_70_1000.txt,1000,0.007281780242919922,0.010735511779785156,0.0011895406306628652,0.0,0.008981585502624512
Cocktail Sort,sorted_asc_10000.txt,10000,0.0005204677581787109,0.0008194446563720703,9.847038299733839e-05,0.0,0.0006598949432373047
Cocktail Sort,sorted_desc_10000.txt,10000,5.652395486831665,6.7706334590911865,0.4024939536763914,0.0,6.1369966745376585
Cocktail Sort,random_10000.txt,10000,3.5174593925476074,4.157317876815796,0.17569836950358486,0.0,3.8342659950256346
Cocktail Sort,partial_30_10000.txt,10000,2.3275609016418457,2.649333953857422,0.09878164017013674,0.0,2.484200954437256
Cocktail Sort,partial_70_10000.txt,10000,0.9281799793243408,1.0856554508209229,0.04231872660432096,0.0,0.9965636491775512
Cocktail Sort,sorted_asc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 1.66 minutes
Cocktail Sort,sorted_desc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 1.66 minutes
Cocktail Sort,random_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 1.66 minutes
Cocktail Sort,partial_30_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 1.66 minutes
Cocktail Sort,partial_70_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 1.66 minutes
Cocktail Sort,sorted_asc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.77 hours
Cocktail Sort,sorted_desc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.77 hours
Cocktail Sort,random_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.77 hours
Cocktail Sort,partial_30_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.77 hours
Cocktail Sort,partial_70_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.77 hours
Comb Sort,sorted_asc_1000.txt,1000,0.0010089874267578125,0.0015816688537597656,0.00022056651693615187,0.0,0.001195979118347168
Comb Sort,sorted_desc_1000.txt,1000,0.0013554096221923828,0.0018906593322753906,0.00015691188901018597,0.0,0.0015684843063354492
Comb Sort,random_1000.txt,1000,0.0015101432800292969,0.0027730464935302734,0.0003505588289256836,0.0,0.0019290447235107422
Comb Sort,partial_30_1000.txt,1000,0.0012638568878173828,0.002847909927368164,0.0004458348922497283,0.0,0.0017031431198120117
Comb Sort,partial_70_1000.txt,1000,0.0013976097106933594,0.0028815269470214844,0.0004152922228549749,0.0,0.0018183231353759766
Comb Sort,sorted_asc_10000.txt,10000,0.014833927154541016,0.02189469337463379,0.002160066027374219,0.0,0.017673611640930176
Comb Sort,sorted_desc_10000.txt,10000,0.015441417694091797,0.023668766021728516,0.002899346634555826,0.0,0.017874312400817872
Comb Sort,random_10000.txt,10000,0.020967721939086914,0.02933478355407715,0.0024920146534953796,0.0,0.027059197425842285
Comb Sort,partial_30_10000.txt,10000,0.024065732955932617,0.02800273895263672,0.001280300676914011,0.0,0.026294016838073732
Comb Sort,partial_70_10000.txt,10000,0.015588521957397461,0.028927087783813477,0.003795867169980548,0.0,0.018698573112487793
Comb Sort,sorted_asc_100000.txt,100000,0.18935680389404297,0.27481746673583984,0.02504656975452986,0.0,0.23093314170837403
Comb Sort,sorted_desc_100000.txt,100000,0.2268970012664795,0.30522966384887695,0.021721549273031878,0.0,0.2686640739440918
Comb Sort,random_100000.txt,100000,0.3245120048522949,0.5483648777008057,0.06781752117915693,0.0625,0.41843357086181643
Comb Sort,partial_30_100000.txt,100000,0.2881176471710205,0.4579463005065918,0.051815969741799375,0.0,0.3454988241195679
Comb Sort,partial_70_100000.txt,100000,0.2435464859008789,0.466977596282959,0.06554487716429888,0.0,0.30486061573028567
Comb Sort,sorted_asc_1000000.txt,1000000,2.53928804397583,4.002937078475952,0.4322584509439644,0.0078125,2.964644265174866
Comb Sort,sorted_desc_1000000.txt,1000000,2.8270151615142822,3.764406204223633,0.28717325093850543,0.00390625,3.1849023580551146
Comb Sort,random_1000000.txt,1000000,7.35338830947876,11.987960577011108,1.2918359982038923,0.00390625,8.603179836273194
Comb Sort,partial_30_1000000.txt,1000000,5.600214242935181,5.980597734451294,0.10946968107688451,0.00390625,5.704932594299317
Comb Sort,partial_70_1000000.txt,1000000,3.344325304031372,4.093752145767212,0.19820390768706508,0.00390625,3.56509473323822
Intro Sort,sorted_asc_1000.txt,1000,0.0003299713134765625,0.00036263465881347656,9.496604373553926e-06,0.0,0.00033445358276367186
Intro Sort,sorted_desc_1000.txt,1000,0.0003752708435058594,0.000392913818359375,4.878034806079477e-06,0.0,0.0003786802291870117
Intro Sort,random_1000.txt,1000,0.0007767677307128906,0.0008444786071777344,1.907592996202552e-05,0.0,0.0007883548736572265
Intro Sort,partial_30_1000.txt,1000,0.000659942626953125,0.0012891292572021484,0.00020122864373502,0.0,0.0007847070693969727
Intro Sort,partial_70_1000.txt,1000,0.0005116462707519531,0.0010645389556884766,0.00015322742883774808,0.0,0.0006077051162719727
Intro Sort,sorted_asc_10000.txt,10000,0.005324840545654297,0.006832122802734375,0.0005403205096311974,0.0,0.005949735641479492
Intro Sort,sorted_desc_10000.txt,10000,0.006554841995239258,0.009145498275756836,0.0006688162176469475,0.0,0.007464790344238281
Intro Sort,random_10000.txt,10000,0.012692928314208984,0.013842344284057617,0.00037362349982789165,0.0,0.013203096389770509
