algorithm,dataset,data_size,min_time,max_time,std_time,memory_usage,time_or_estimate
Bubble Sort,sorted_asc_1000.txt,1000,0.0,0.0009999275207519531,0.0002999782562255859,0.0,9.999275207519531e-05
Bubble Sort,sorted_desc_1000.txt,1000,0.05101180076599121,0.054012298583984375,0.0008709814766498761,0.0,0.05221290588378906
Bubble Sort,random_1000.txt,1000,0.03900289535522461,0.04100942611694336,0.0006640768754931363,0.0,0.0396082878112793
Bubble Sort,partial_30_1000.txt,1000,0.029003620147705078,0.032007455825805664,0.0011840170068267203,0.0,0.031006669998168944
Bubble Sort,partial_70_1000.txt,1000,0.012002229690551758,0.014003276824951172,0.0006503970238740776,0.0,0.013053059577941895
Bubble Sort,sorted_asc_10000.txt,10000,0.0,0.0010006427764892578,0.0005001545247887043,0.0,0.0005001544952392579
Bubble Sort,sorted_desc_10000.txt,10000,5.744261741638184,5.960719585418701,0.05685317888568502,0.0,5.855193662643432
Bubble Sort,random_10000.txt,10000,4.3000171184539795,4.581065654754639,0.09138815761246268,0.0,4.415276002883911
Bubble Sort,partial_30_10000.txt,10000,3.1131842136383057,3.3801016807556152,0.08325595110389207,0.0,3.262685227394104
Bubble Sort,partial_70_10000.txt,10000,1.4272339344024658,1.642012596130371,0.06687671779018414,0.0,1.5338883876800538
Bubble Sort,sorted_asc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.56 minutes
Bubble Sort,sorted_desc_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.56 minutes
Bubble Sort,random_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.56 minutes
Bubble Sort,partial_30_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.56 minutes
Bubble Sort,partial_70_100000.txt,100000,-1.0,-1.0,0.0,-1.0,Estimated time: 2.56 minutes
Bubble Sort,sorted_asc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 4.26 hours
Bubble Sort,sorted_desc_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 4.26 hours
Bubble Sort,random_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 4.26 hours
Bubble Sort,partial_30_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 4.26 hours
Bubble Sort,partial_70_1000000.txt,1000000,-1.0,-1.0,0.0,-1.0,Estimated time: 4.26 hours
Selection Sort,sorted_asc_1000.txt,1000,0.017004013061523438,0.019004344940185547,0.0004739768548265364,0.0,0.018056392669677734
Selection Sort,sorted_desc_1000.txt,1000,0.018004179000854492,0.020004749298095703,0.0006325674010997777,0.0,0.01900665760040283
Selection Sort,random_1000.txt,1000,0.017003536224365234,0.018004655838012695,0.00045840137240334573,0.0,0.017703914642333986
Selection Sort,partial_30_1000.txt,1000,0.017003774642944336,0.018004417419433594,0.0003998401437538843,0.0,0.017804050445556642
Selection Sort,partial_70_1000.txt,1000,0.017003297805786133,0.019004106521606445,0.000600848043749288,0.0,0.01780538558959961
Selection Sort,sorted_asc_10000.txt,10000,1.7021682262420654,1.8088626861572266,0.030217723226855425,0.0,1.7218774557113647
Selection Sort,sorted_desc_10000.txt,10000,1.8797166347503662,2.0409061908721924,0.04326891472679956,0.0,1.931445574760437
Selection Sort,random_10000.txt,10000,1.71406888961792,1.7364814281463623,0.007291690023774131,0.0,1.7276494741439818
Selection Sort,partial_30_10000.txt,10000,1.709803819656372,1.7486824989318848,0.013225665774873876,0.0,1.7277822494506836
